ID_src,l,b,yield,alphaCadence,alphaTexp
769,0.8,-3.8,0.19625002871307662,-0.3132474686968386,0.5703114609320424
768,0.8,-3.6,0.2303639041108344,-0.31649831828144037,0.4331630999668549
767,0.8,-3.4,0.27181327860500637,-0.3511089819916984,0.47912436236341166
766,0.8,-3.2,0.31248496309297197,-0.3588424680955635,0.4799774042207089
765,0.8,-3.0,0.3732459085904778,-0.3620814448466945,0.5845145947550802
764,0.8,-2.8,0.4273113557671452,-0.4081311988308459,0.6187918962032288
763,0.8,-2.6,0.512165814288897,-0.38212922920093545,0.5629630069154465
762,0.8,-2.4,0.5845531497277626,-0.426283456230484,0.5310826339714843
761,0.8,-2.2,0.6642650439900354,-0.43086142869350735,0.6032655044621443
760,0.8,-2.0,0.7606041687662142,-0.44044133316217204,0.5745377392363892
759,0.8,-1.8,0.8971765644894865,-0.5017540156240076,0.7988993736003849
758,0.8,-1.6,1.0381163342874253,-0.4852799726008586,0.7223309597188936
757,0.8,-1.4,1.1215200551946654,-0.5063889500182807,0.7897203931954392
756,0.8,-1.2,1.3249893479570884,-0.507865579775105,0.813311765771763
755,0.8,-1.0,1.2365807118651497,-0.4974584849327371,0.7434588103095215
754,0.8,-0.8,1.1444015431881955,-0.5207410465472696,0.7420800552484696
753,0.8,-0.6,1.3248914622091033,-0.46032396121266883,0.6983152327023003
752,0.8,-0.4,0.621036551451327,-0.47454174633416535,0.8204800598205428
751,0.8,-0.2,0.11673333252870599,-0.2898310175296517,0.8230668692813791
771,0.8,0.0,0.1248742812922608,-0.2823097473783163,0.539114342980848
772,0.8,0.2,0.7813094511699414,-0.43531436898363896,0.6907247895674726
773,0.8,0.4,1.0419360609618444,-0.45582892100090383,0.6755043215068114
774,0.8,0.6,1.0727985432636624,-0.48112132352143777,0.6485530463492988
775,0.8,0.8,1.1786076783736417,-0.5142382807281053,0.6563256585358717
776,0.8,1.0,1.4218260685033894,-0.49732329539043596,0.7867369699637986
777,0.8,1.2,1.2347143519737869,-0.48909783363548415,0.6954912166844889
778,0.8,1.4,1.1288494762909458,-0.48622889417518,0.7610355151845052
779,0.8,1.6,1.005724933694815,-0.4623323040557709,0.6534410774848498
780,0.8,1.8,0.8940941805577644,-0.4484936411129419,0.7142508058429047
781,0.8,2.0,0.7204359248911284,-0.4415808643108192,0.5726486230808027
782,0.8,2.2,0.6229478064927618,-0.425488917464471,0.6740681312775775
783,0.8,2.4,0.5134558093465854,-0.3991830710313307,0.5426075815525437
784,0.8,2.6,0.4470825074589738,-0.41902649632989614,0.6340730809017951
785,0.8,2.8,0.3646096332170106,-0.41057950438606616,0.6260333673776824
786,0.8,3.0,0.3216524941834074,-0.41923194130253494,0.666371827788437
787,0.8,3.2,0.2772320412030348,-0.3637310859170152,0.477970645771604
788,0.8,3.4,0.21501529608016562,-0.3547837976608744,0.5821949598022661
789,0.8,3.6,0.19201957352352658,-0.341333249601261,0.5712689979971393
790,0.8,3.8,0.1365595262119032,-0.3628256477702104,0.5820163475948432
730,0.6,-4.0,0.1651816219433328,-0.3265853511471663,0.5846714875440846
729,0.6,-3.8,0.1931725553839542,-0.3098461938954436,0.531028799266516
728,0.6,-3.6,0.22642825024747498,-0.3387917358190167,0.4796443189993333
727,0.6,-3.4,0.26458386027429837,-0.3545160075956322,0.5631727779902457
726,0.6,-3.2,0.3240067670932038,-0.34688460345212835,0.5385567431498604
725,0.6,-3.0,0.3760680946118352,-0.37465584835914556,0.6085694145658141
724,0.6,-2.8,0.4491594752637582,-0.38036711382378396,0.5645638288611166
723,0.6,-2.6,0.5015824967388456,-0.4035361360556032,0.5243845674979795
722,0.6,-2.4,0.579866155271859,-0.44314677070006303,0.7235011732735037
721,0.6,-2.2,0.7054479301013645,-0.4309501263837037,0.6202110530096115
720,0.6,-2.0,0.84376259461404,-0.4399260047997123,0.6715181323459218
719,0.6,-1.8,0.9095401472847702,-0.49201080229328537,0.7287727811975346
718,0.6,-1.6,1.062495799925535,-0.47479365300809545,0.5996311903700678
717,0.6,-1.4,1.2857525916777017,-0.4878066125636951,0.7011852661230362
716,0.6,-1.2,1.3032497156011373,-0.5028023345167945,0.7241419985058217
715,0.6,-1.0,1.2749257069188575,-0.4881029372901992,0.7039101434533686
714,0.6,-0.8,0.8734736804946756,-0.5125309578490025,0.7819066379883113
713,0.6,-0.6,0.45898462178502597,-0.4616929698676828,0.7767765674854399
712,0.6,-0.4,0.3395530123806906,-0.45388630761408233,0.7407089539444421
711,0.6,-0.2,0.119680903032903,-0.36485507545558615,0.8804815515802569
731,0.6,0.0,0.27462954159978537,-0.3764529108908066,0.6265177335885239
732,0.6,0.2,0.4856553014113932,-0.4135902928635111,0.7677934617126484
733,0.6,0.4,0.9637515901819398,-0.49211053923274334,0.7186857451834923
734,0.6,0.6,1.1329250768707682,-0.4981067079932948,0.7782554032563215
735,0.6,0.8,1.1536676506315062,-0.4855352542701871,0.6692964712609251
736,0.6,1.0,1.3851702719519245,-0.46135209101501307,0.6130933235119823
737,0.6,1.2,1.188076196447655,-0.4965904577158397,0.6603911688449806
738,0.6,1.4,1.1331804536302381,-0.5027617956235542,0.6663418540219181
739,0.6,1.6,1.0639562474499427,-0.44606023482482815,0.5847340237017717
740,0.6,1.8,0.9110599472047541,-0.43316102120079814,0.6512940538501959
741,0.6,2.0,0.7828029200198586,-0.43397858886621643,0.6644624219422426
742,0.6,2.2,0.621551658986895,-0.5198152262410599,0.7518047166089327
743,0.6,2.4,0.5348883694943369,-0.4077102339643072,0.5502947734246069
744,0.6,2.6,0.44346584569307934,-0.3953194616604771,0.48235297022886375
745,0.6,2.8,0.43467877222173423,-0.3493760788740681,0.4101415642715273
746,0.6,3.0,0.33236544998439843,-0.3920008141881167,0.6345910636622594
747,0.6,3.2,0.29179821271640943,-0.35536274843814514,0.5281159761653678
748,0.6,3.4,0.24069951007114077,-0.3756725408570052,0.6065639931447314
749,0.6,3.6,0.1914271830673806,-0.3273366713582717,0.5259948037325097
750,0.6,3.8,0.156509949697401,-0.3317201501061138,0.4599302480944769
690,0.4,-4.0,0.1663186696446636,-0.3233998877864874,0.49347434558547837
689,0.4,-3.8,0.1980679737166422,-0.31731474464206383,0.44719656205967107
688,0.4,-3.6,0.2426010291031896,-0.30862815167398217,0.48724273747514374
687,0.4,-3.4,0.26375777899633557,-0.37755388077036833,0.5805151204368665
686,0.4,-3.2,0.3170830062899646,-0.37947108009325425,0.5202721636732062
685,0.4,-3.0,0.3545738705274222,-0.3794901302863708,0.5940068961955669
684,0.4,-2.8,0.44451611114397604,-0.3956887893920265,0.5676822613567513
683,0.4,-2.6,0.49299405765071647,-0.41129773047725726,0.6362092083792568
682,0.4,-2.4,0.571472482508133,-0.41866254485184773,0.576537059991204
681,0.4,-2.2,0.7321353976383882,-0.4058787171405723,0.5647853694799568
680,0.4,-2.0,0.8083180528263911,-0.48130067708936064,0.6903576199431399
679,0.4,-1.8,0.9575402069833014,-0.47790723863240403,0.7231162890559104
678,0.4,-1.6,1.038995214119446,-0.48968981408133094,0.7093758268767277
677,0.4,-1.4,1.2407105990213982,-0.47648308147538165,0.5710220034633375
676,0.4,-1.2,1.2982875992255725,-0.5024681342226447,0.6115136915157142
675,0.4,-1.0,1.2609726851936278,-0.5132950234924528,0.6517544271485689
674,0.4,-0.8,1.373219079713177,-0.5079917192919403,0.6993384558564395
673,0.4,-0.6,0.43866286487686623,-0.5030165850120181,0.8589703338222348
672,0.4,-0.4,0.7285434157781581,-0.4934386492529459,0.5495260514639109
671,0.4,-0.2,0.1612001838240078,-0.3686853632588096,1.122468198171485
691,0.4,0.0,0.5724628045737318,-0.4461589751908793,0.7021258883360181
692,0.4,0.2,0.6980878235062387,-0.42674945603639036,0.633954585006979
693,0.4,0.4,1.0258742948852448,-0.44990196243182184,0.7676213478743212
694,0.4,0.6,1.4499836881764432,-0.5084248291071967,0.7474813138321673
695,0.4,0.8,1.3399783531859586,-0.5148087048211121,0.7932687447600635
696,0.4,1.0,1.6144377059306554,-0.4813438647477494,0.7582652075746128
697,0.4,1.2,1.2959426177872955,-0.5037020655680564,0.7630372334387777
698,0.4,1.4,1.256805123023777,-0.47139666267068775,0.6539569299544827
699,0.4,1.6,0.9739328082018714,-0.5221479700693284,0.7201334404827727
700,0.4,1.8,0.9127734675350507,-0.4221289725166867,0.47875968244881784
701,0.4,2.0,0.7607530569481368,-0.45131331036944855,0.5254113909677215
702,0.4,2.2,0.6323815072590138,-0.4363773472074747,0.5574273369621254
703,0.4,2.4,0.5514897241445682,-0.4143846679710113,0.5983529797889628
704,0.4,2.6,0.476672680005768,-0.4005886138767164,0.6102141960053872
705,0.4,2.8,0.4013169826665408,-0.3891274747089591,0.6104716026265768
706,0.4,3.0,0.3378413512698702,-0.3826993929112582,0.4509828327757877
707,0.4,3.2,0.29041023985354797,-0.35343706820058807,0.5270614943382281
708,0.4,3.4,0.24433866086018402,-0.35867012786858316,0.6141703337642611
709,0.4,3.6,0.18816407814418978,-0.34104046389639686,0.5357666127101403
710,0.4,3.8,0.1500316419544248,-0.34197429275911445,0.45316129787860515
650,0.2,-4.0,0.1624767714958764,-0.3039516248417417,0.4520791978696819
649,0.2,-3.8,0.19841265268102498,-0.31224035005026674,0.441674623559823
648,0.2,-3.6,0.2265336137647242,-0.3614615133311894,0.5275489329796552
647,0.2,-3.4,0.260673500152167,-0.3545910378444561,0.5580413882647781
646,0.2,-3.2,0.2970638232381354,-0.38029643898636234,0.524007713156877
645,0.2,-3.0,0.3430314420122046,-0.36286453295354,0.6398041684177683
644,0.2,-2.8,0.43813560313739097,-0.3915079859465357,0.5131475622337149
643,0.2,-2.6,0.5101698579937278,-0.41021681466591764,0.6644729824470933
642,0.2,-2.4,0.5906485366793471,-0.406689518839928,0.5488999780789162
641,0.2,-2.2,0.7196769632829774,-0.4202349908028924,0.5960344249766892
